sample	condition	sample_type
sample_1	GALD	Plasma
sample_2	GALD	Plasma
sample_3	GALD	Plasma
sample_4	GALD	Plasma
sample_5	GALD	Plasma
sample_6	GALD	Plasma
sample_7	GALD	Plasma
sample_8	GALD	Plasma
sample_9	GALD	Plasma
sample_10	GALD	Plasma
sample_11	GALD	Plasma
sample_12	GALD	Plasma
sample_13	GALD	Plasma
sample_14	GALD	Plasma
sample_15	GALD	Plasma
sample_16	Healthy donor	Plasma
sample_17	Healthy donor	Plasma
sample_18	Healthy donor	Plasma
sample_19	Healthy donor	Plasma
sample_20	Healthy donor	Plasma
sample_21	Healthy donor	Plasma
sample_22	Healthy donor	Plasma
sample_23	Healthy donor	Plasma
sample_24	Healthy donor	Plasma
sample_25	Healthy donor	Plasma
sample_26	Healthy donor	Plasma
sample_27	Healthy donor	Plasma
sample_28	Healthy donor	Plasma
sample_29	Healthy donor	Plasma
sample_30	Healthy donor	Plasma
