sample	condition	sample_type
sample_1	GALD	Liver Lysate
sample_2	GALD	Liver Lysate
sample_3	GALD	Liver Lysate
sample_4	GALD	Liver Lysate
sample_5	GALD	Liver Lysate
sample_6	GALD	Liver Lysate
sample_7	GALD	Liver Lysate
sample_8	GALD	Liver Lysate
sample_9	GALD	Liver Lysate
sample_10	GALD	Liver Lysate
sample_11	GALD	Liver Lysate
sample_12	GALD	Liver Lysate
sample_13	GALD	Liver Lysate
sample_14	GALD	Liver Lysate
sample_15	GALD	Liver Lysate
sample_16	GALD_spouse	Liver Lysate
sample_17	GALD_spouse	Liver Lysate
sample_18	GALD_spouse	Liver Lysate
sample_19	GALD_spouse	Liver Lysate
sample_20	GALD_spouse	Liver Lysate
sample_21	GALD_spouse	Liver Lysate
sample_22	GALD_spouse	Liver Lysate
sample_23	GALD_spouse	Liver Lysate
sample_24	GALD_spouse	Liver Lysate
sample_25	GALD_spouse	Liver Lysate
sample_26	GALD_spouse	Liver Lysate
sample_27	GALD_spouse	Liver Lysate
sample_28	Healthy donor	Liver Lysate
sample_29	Healthy donor	Liver Lysate
sample_30	Healthy donor	Liver Lysate
sample_31	Healthy donor	Liver Lysate
sample_32	Healthy donor	Liver Lysate
sample_33	Healthy donor	Liver Lysate
sample_34	Healthy donor	Liver Lysate
sample_35	Healthy donor	Liver Lysate
sample_36	Healthy donor	Liver Lysate
sample_37	Healthy donor	Liver Lysate
sample_38	Healthy donor	Liver Lysate
sample_39	Healthy donor	Liver Lysate
sample_40	Healthy donor	Liver Lysate
sample_41	Healthy donor	Liver Lysate
sample_42	Healthy donor	Liver Lysate
sample_43	GALD	Lysate buffer
sample_44	GALD	Lysate buffer
sample_45	GALD	Lysate buffer
sample_46	GALD	Lysate buffer
sample_47	GALD	Lysate buffer
sample_48	GALD	Lysate buffer
sample_49	GALD	Lysate buffer
sample_50	GALD	Lysate buffer
sample_51	GALD	Lysate buffer
sample_52	GALD	Lysate buffer
sample_53	GALD	Lysate buffer
sample_54	GALD	Lysate buffer
sample_55	GALD	Lysate buffer
sample_56	GALD	Lysate buffer
sample_57	GALD	Lysate buffer
sample_58	GALD_spouse	Lysate buffer
sample_59	GALD_spouse	Lysate buffer
sample_60	GALD_spouse	Lysate buffer
sample_61	GALD_spouse	Lysate buffer
sample_62	GALD_spouse	Lysate buffer
sample_63	GALD_spouse	Lysate buffer
sample_64	GALD_spouse	Lysate buffer
sample_65	GALD_spouse	Lysate buffer
sample_66	GALD_spouse	Lysate buffer
sample_67	GALD_spouse	Lysate buffer
sample_68	GALD_spouse	Lysate buffer
sample_69	GALD_spouse	Lysate buffer
sample_70	Healthy donor	Lysate buffer
sample_71	Healthy donor	Lysate buffer
sample_72	Healthy donor	Lysate buffer
sample_73	Healthy donor	Lysate buffer
sample_74	Healthy donor	Lysate buffer
sample_75	Healthy donor	Lysate buffer
sample_76	Healthy donor	Lysate buffer
sample_77	Healthy donor	Lysate buffer
sample_78	Healthy donor	Lysate buffer
sample_79	Healthy donor	Lysate buffer
sample_80	Healthy donor	Lysate buffer
sample_81	Healthy donor	Lysate buffer
sample_82	Healthy donor	Lysate buffer
sample_83	Healthy donor	Lysate buffer
sample_84	Healthy donor	Lysate buffer
