	leading razor protein	identifier	Cellular component (annotation)	Cellular component (ID)	source
0	Q00341	HDLBP~Q00341	cytoplasm	GO:0005737	UniProt
1	Q00341	HDLBP~Q00341	high-density lipoprotein particle	GO:0034364	UniProt
2	Q00341	HDLBP~Q00341	nucleus	GO:0005634	UniProt
3	Q00341	HDLBP~Q00341	plasma membrane	GO:0005886	UniProt
4	A0A024R6N5	SERPINA1~A0A024R6N5	extracellular space	GO:0005615	UniProt
5	A0A024RA52	PSMA2~A0A024RA52	cytoplasm	GO:0005737	UniProt
6	A0A024RA52	PSMA2~A0A024RA52	nucleus	GO:0005634	UniProt
7	A0A024RA52	PSMA2~A0A024RA52	proteasome core complex, alpha-subunit complex	GO:0019773	UniProt
8	A0A075B6H9	IGLV4-69~A0A075B6H9	extracellular space	GO:0005615	UniProt
9	A0A075B6H9	IGLV4-69~A0A075B6H9	immunoglobulin complex	GO:0019814	UniProt
10	A0A075B6H9	IGLV4-69~A0A075B6H9	plasma membrane	GO:0005886	UniProt
11	A0A075B6I9	IGLV7-46~A0A075B6I9	extracellular space	GO:0005615	UniProt
12	A0A075B6I9	IGLV7-46~A0A075B6I9	immunoglobulin complex	GO:0019814	UniProt
13	A0A075B6I9	IGLV7-46~A0A075B6I9	plasma membrane	GO:0005886	UniProt
14	A0A075B6J9	IGLV2-18~A0A075B6J9	extracellular space	GO:0005615	UniProt
15	A0A075B6J9	IGLV2-18~A0A075B6J9	immunoglobulin complex	GO:0019814	UniProt
16	A0A075B6J9	IGLV2-18~A0A075B6J9	plasma membrane	GO:0005886	UniProt
17	A0A075B6K4	IGLV3-10~A0A075B6K4	extracellular space	GO:0005615	UniProt
18	A0A075B6K4	IGLV3-10~A0A075B6K4	immunoglobulin complex	GO:0019814	UniProt
19	A0A075B6K4	IGLV3-10~A0A075B6K4	plasma membrane	GO:0005886	UniProt
20	A0A075B6K5	IGLV3-9~A0A075B6K5	extracellular space	GO:0005615	UniProt
21	A0A075B6K5	IGLV3-9~A0A075B6K5	immunoglobulin complex	GO:0019814	UniProt
22	A0A075B6K5	IGLV3-9~A0A075B6K5	plasma membrane	GO:0005886	UniProt
23	A0A087WT59	TTR~A0A087WT59	extracellular space	GO:0005615	UniProt
24	P11940	PABPC1~P11940	catalytic step 2 spliceosome	GO:0071013	UniProt
25	P11940	PABPC1~P11940	cell leading edge	GO:0031252	UniProt
26	P11940	PABPC1~P11940	cytoplasm	GO:0005737	UniProt
27	P11940	PABPC1~P11940	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
28	P11940	PABPC1~P11940	cytoplasmic stress granule	GO:0010494	UniProt
